"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","minuslog10padj","diffexp"
"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION","REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION","92/1608","276/9710",0.333333333333333,2.01285240464345,7.60478467742893,3.50860975153637e-12,4.25594362861361e-09,3.50860975153637e-09,"BMP4/FN1/VCAN/HSPG2/SERPINE1/ADAM19/LOXL2/ITGB4/MMP14/ITGA6/ITGA3/PLOD2/TIMP2/COL9A3/CTSB/SPARC/COL13A1/SDC4/COL12A1/THBS1/PDGFB/ADAM9/CD44/KLK7/ITGB1/LAMB1/ADAMTS2/P4HA1/CTSV/CTSL/LAMA5/PRKCA/SCUBE1/P4HA2/COL6A1/ADAM10/ICAM1/FURIN/CRTAP/APP/ITGA9/P3H1/CAST/TIMP1/ICAM5/ITGB8/FBLN1/LTBP1/ADAMTS14/LAMB3/CASK/DDR1/LTBP3/LAMC2/ITGA7/PDGFA/ITGB3/COL21A1/COL6A2/CAPN5/ITGA5/P4HA3/TNXB/MMP15/PLEC/LAMB2/SDC3/NTN4/LOXL4/ITGAV/ITGB5/BMP7/P3H2/LAMC1/LAMA3/PLOD1/P4HB/FBLN5/TLL2/CD47/BMP1/COL18A1/MMP17/CTSD/FBLN2/CDH1/CEACAM1/ITGAX/SERPINH1/COL4A5/ITGA10/PSEN1",92,8.37100413304952,"Healthy"
"REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION","REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION","75/1608","243/9710",0.308641975308642,1.86375222652171,6.07463630602834,1.69653382455725e-08,1.02894776459397e-05,8.48266912278624e-06,"FN1/SERPINE1/SERPINA1/GNA12/TMSB4X/TIMP3/SPARC/THBS1/PDGFB/CD9/ACTN4/CD109/HSPA5/VCL/FAM3C/RAC2/PLA2G4A/HABP4/CLU/CAP1/RAB27B/F2R/ITPR2/PRKCA/SERPING1/CALU/LAMP2/ANXA5/QSOX1/APP/TIMP1/SELENOP/MANF/YWHAZ/MAGED2/FLNA/ENDOD1/GNAQ/PIK3R1/GNAI2/SHC1/PDGFA/ITGB3/ABHD6/CD63/IGF2/MAPK1/MGLL/ARRB1/CRK/PRKCH/RAP1A/LHFPL2/DGKE/PHACTR2/PTPN1/DGKH/GNG7/FYN/PLCG2/APLP2/PSAP/ITPR1/F8/PROS1/CDC42/RHOA/PIK3CB/GNG2/ACTN2/GNB1/ECM1/LCK/GNG12/F5",75,4.9876066720057,"Healthy"
"REACTOME_CELL_CELL_COMMUNICATION","REACTOME_CELL_CELL_COMMUNICATION","48/1608","133/9710",0.360902255639098,2.17932891931321,6.10070715357688,3.39378271516003e-08,1.37221947782971e-05,1.13126090505334e-05,"SKAP2/ADAM19/ITGB4/ITGA6/CLDN2/ANGPTL4/ACTN4/ITGB1/AMOT/PXN/CDH3/RSU1/FERMT2/LAMB3/CASK/FLNA/LAMC2/CTNNB1/PIK3R1/VASP/CTNNA1/CLDN12/CLDN4/PLEC/NECTIN2/IQGAP1/SPTBN1/AGO2/ARHGEF6/LIMS2/LAMA3/SPTAN1/SNAI1/FYN/CD47/PARVA/ANG/AGO3/FLNC/NCK2/NPHS1/ACTG1/CDH1/AGO4/PTK2B/PIK3CB/KIRREL1/ACTN2",48,4.86257642041704,"Healthy"
"REACTOME_SIGNALING_BY_NTRKS","REACTOME_SIGNALING_BY_NTRKS","47/1608","131/9710",0.358778625954198,2.16650525995974,5.98820164136227,5.80723475032152e-08,1.761043938035e-05,1.45180868758038e-05,"DUSP4/DUSP6/TIAM1/F3/STAT3/RPS6KA2/IRS2/TRIB1/FOSL1/GRIN2B/TCF12/DNM3/FURIN/ATF2/SGK1/DUSP3/BDNF/NRAS/ARC/ID1/PIK3R1/BAX/SHC1/NAB1/KRAS/MAPK1/CRK/MEF2D/RAP1A/GAB1/RALB/ID2/ID3/MEF2A/FYN/RALGDS/EGR2/PCSK5/SH3GL3/EGR3/MAP2K1/BRAF/RHOA/PIK3CB/SHC3/CLTC/RPS6KA3",47,4.754229808253,"Healthy"
"REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2","REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2","44/1608","121/9710",0.363636363636364,2.19583898688376,5.89675233114508,9.76824382087774e-08,2.36977595094494e-05,1.95364876417555e-05,"FN1/SERPINE1/SERPINA1/TMSB4X/TIMP3/SPARC/THBS1/PDGFB/CD9/ACTN4/CD109/HSPA5/VCL/FAM3C/HABP4/CLU/CAP1/RAB27B/PRKCA/SERPING1/CALU/LAMP2/ANXA5/QSOX1/APP/TIMP1/SELENOP/MANF/MAGED2/FLNA/ENDOD1/PDGFA/ITGB3/CD63/IGF2/LHFPL2/PHACTR2/APLP2/PSAP/F8/PROS1/ACTN2/ECM1/F5",44,4.625292712162,"Healthy"
"REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS","REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS","25/1608","54/9710",0.462962962962963,2.79562833978257,5.89452556757765,3.07913890156499e-07,6.22499247933055e-05,5.13189816927498e-05,"FN1/HSPG2/ITGB4/ITGA6/SDC4/THBS1/PDGFB/ITGB1/LAMB1/LAMA5/PRKCA/LAMB3/CASK/DDR1/LAMC2/PDGFA/ITGB3/LAMB2/SDC3/NTN4/ITGAV/ITGB5/LAMC1/LAMA3/COL4A5",25,4.20586116892094,"Healthy"
"REACTOME_NEUTROPHIL_DEGRANULATION","REACTOME_NEUTROPHIL_DEGRANULATION","112/1608","435/9710",0.257471264367816,1.55475496082804,5.2737922443356,4.15498558763508e-07,7.19999645400193e-05,5.93569369662154e-05,"CMTM6/SERPINA1/CAT/PADI2/YPEL5/SERPINB1/SLC2A3/TIMP2/CTSB/B2M/GM2A/ATP11B/CD44/VCL/CD59/PLD1/GNS/SDCBP/DSP/PLAUR/GSN/PTPRJ/NPC2/CAP1/CPPED1/CRISPLD2/CD55/MLEC/HEXB/RAB37/ADAM10/ATP6V0A1/DYNLT1/LAMP2/LGALS3/CDA/GCA/NRAS/QSOX1/PRCP/S100A11/RAB5B/ANO6/DNAJC3/ATP6AP2/CPNE3/AOC1/IQGAP2/TMEM30A/HPSE/RHOF/FTL/GRN/CD63/GLB1/PGM1/CYB5R3/RAB10/TMC6/ENPP4/FUCA1/MAPK1/ASAH1/ALDOC/MAGT1/APEH/HLA-B/ALOX5/IQGAP1/GGH/RAP1A/ITGAV/GYG1/IDH1/DNASE1L1/LTA4H/RAB3A/GOLGA7/ALDH3B1/MVP/SPTAN1/MOSPD2/NEU1/CST3/CD47/PKM/HEBP2/RAB7A/PSAP/CAB39/SNAP25/VAT1/CTSD/CYSTM1/TNFRSF1B/ARPC5/CEACAM1/MANBA/FRMPD3/RHOA/GPI/CKAP4/C3/LAMP1/ITGAX/NFASC/COPB1/ERP44/SERPINB6/PSEN1/ALAD/ATP8A1",112,4.1426677174587,"Healthy"
"REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS","REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS","49/1608","150/9710",0.326666666666667,1.97259535655058,5.34789692990272,8.19007273911884e-07,0.000115136538125247,9.49188278031717e-05,"FKBP1A/WWTR1/SERPINE1/SMURF2/MMP14/TGFBR2/TIMP2/ITGB1/FSTL1/BMPR2/TCF12/ACVR1C/FURIN/CBL/TIMP1/ITGB8/LTBP1/SMAD5/LTBP3/CGN/ITGB3/STAT1/MAPK1/ARRB1/AGO2/FSTL3/PPM1A/ITGAV/CDKN2B/TGFBR3/ITGB5/TGIF1/USP9X/SMAD9/RARA/BAMBI/NCOR2/AGO3/NOG/NEDD4L/SMAD2/INHBB/SMAD7/AGO4/RHOA/SMAD3/DRAP1/HDAC1/PSEN1",49,3.93878683285991,"Healthy"
"REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION_BY_GROWTH_FACTOR_RECEPTORS_AND_SECOND_MESSENGERS","REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION_BY_GROWTH_FACTOR_RECEPTORS_AND_SECOND_MESSENGERS","113/1608","446/9710",0.253363228699552,1.52994835240836,5.10429605214068,8.79555976591728e-07,0.000115136538125247,9.49188278031717e-05,"FN1/AREG/PRF1/FKBP1A/RNF43/DUSP6/BCL2L1/FGF9/RRBP1/FGF19/MAML2/HES1/PPFIBP1/TGFBR2/PDGFB/JAG1/TGFA/STAT3/IRS2/VCL/LMNA/KITLG/MSN/EREG/EGFR/RAC2/KREMEN1/PIK3AP1/FZD4/MET/HDAC4/ADAM10/MPRIP/CBL/CEBPB/BDNF/NRAS/CDKN1A/LRRFIP1/SPRED1/LMO7/PAPSS1/NRG1/GAB2/CTNNB1/PIK3R1/SHC1/MIB1/PDGFA/ITGB3/STAT1/TPM4/WNT3A/DUSP10/TWIST1/PPP2R5B/FOXO3/KRAS/PPP2R5A/MAPK1/DUSP16/PRKAR1A/ARRB1/PSMB9/IQGAP1/SPTBN1/AGO2/HDAC9/RAP1A/GAB1/FGFR3/PSME1/ERLEC1/FOXO1/SYVN1/DLL1/MCL1/PIK3CD/TNKS/SPRED2/FGF18/FYN/OS9/NCOR2/AGO3/PSMD10/MRAS/ETV6/ACTG1/EIF2AK3/SMAD2/MAP2K1/LRP6/BRAF/KDM7A/QKI/HIP1/MAML3/AGO4/PIK3CB/TRIP11/GSK3B/SMAD3/FGFR4/CLTC/IL10RA/LCK/HDAC1/JAK2/HDAC6/PTPN12/KANK1/PSEN1",113,3.93878683285991,"Healthy"
"REACTOME_COLLAGEN_FORMATION","REACTOME_COLLAGEN_FORMATION","33/1608","86/9710",0.383720930232558,2.31712079139188,5.46551608966023,9.49188278031717e-07,0.000115136538125247,9.49188278031717e-05,"LOXL2/ITGB4/ITGA6/PLOD2/COL9A3/CTSB/COL13A1/COL12A1/ADAMTS2/P4HA1/CTSV/CTSL/P4HA2/COL6A1/CRTAP/P3H1/ADAMTS14/LAMB3/LAMC2/COL21A1/COL6A2/P4HA3/PLEC/LOXL4/P3H2/LAMA3/PLOD1/P4HB/TLL2/BMP1/COL18A1/SERPINH1/COL4A5",33,3.93878683285991,"Healthy"
